Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0006,NuGet-Paketquellzuordnungen werden empfohlen.,Active,Information,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,NuGet.config,,,,,,,,"Es wurden 1 Dateien gefunden, die der Regel entsprechen:    NuGet.config  "
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionRepository.cs,44,12,M:System.Composition.CompositionContext.GetExports``1,,,,,"var exports =                  container.GetExports<ExportFactory<IStandardFunctionGenerator, StandardFunctionMetadataView>>();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionRepository.cs,43,12,T:System.Composition.Hosting.CompositionHost,,,,,var container = configuration.CreateContainer();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionRepository.cs,43,12,M:System.Composition.Hosting.ContainerConfiguration.CreateContainer,,,,,var container = configuration.CreateContainer();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionRepository.cs,42,12,T:System.Composition.Hosting.ContainerConfiguration,,,,,var configuration = new ContainerConfiguration().WithAssembly(typeof(IStandardFunctionGenerator).Assembly);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionRepository.cs,42,12,M:System.Composition.Hosting.ContainerConfiguration.#ctor,,,,,var configuration = new ContainerConfiguration().WithAssembly(typeof(IStandardFunctionGenerator).Assembly);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionRepository.cs,42,12,T:System.Composition.Hosting.ContainerConfiguration,,,,,var configuration = new ContainerConfiguration().WithAssembly(typeof(IStandardFunctionGenerator).Assembly);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionRepository.cs,42,12,M:System.Composition.Hosting.ContainerConfiguration.WithAssembly(System.Reflection.Assembly),,,,,var configuration = new ContainerConfiguration().WithAssembly(typeof(IStandardFunctionGenerator).Assembly);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionMetadataAttribute.cs,13,5,M:System.Composition.MetadataAttributeAttribute.#ctor,,,,,MetadataAttribute
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionMetadataAttribute.cs,13,5,T:System.Composition.MetadataAttributeAttribute,,,,,MetadataAttribute
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionMetadataAttribute.cs,37,12,M:System.Composition.ExportAttribute.#ctor(System.Type),,,,,: base(typeof(IStandardFunctionGenerator))
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionMetadataAttribute.cs,24,12,M:System.Composition.ExportAttribute.#ctor(System.Type),,,,,: base(typeof(IStandardFunctionGenerator))
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionMetadataAttribute.cs,37,12,M:System.Composition.ExportAttribute.#ctor(System.Type),,,,,: base(typeof(IStandardFunctionGenerator))
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionMetadataAttribute.cs,24,12,M:System.Composition.ExportAttribute.#ctor(System.Type),,,,,: base(typeof(IStandardFunctionGenerator))
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Generator.MsilBin\Oberon0.Generator.MsilBin.csproj,File,Oberon0.Generator.MsilBin\PredefinedFunctions\StandardFunctionMetadataAttribute.cs,15,53,T:System.Composition.ExportAttribute,,,,,ExportAttribute
NuGet.0006,NuGet-Paketquellzuordnungen werden empfohlen.,Active,Information,1,Oberon0.Generator.MsilBin.Tests\Oberon0.Generator.MsilBin.Tests.csproj,File,NuGet.config,,,,,,,,"Es wurden 1 Dateien gefunden, die der Regel entsprechen:    NuGet.config  "
NuGet.0005,Das NuGet-Paket ist veraltet,Active,Optional,1,Oberon0.Generator.MsilBin.Tests\Oberon0.Generator.MsilBin.Tests.csproj,File,Oberon0.Generator.MsilBin.Tests\Oberon0.Generator.MsilBin.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Empfehlung:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,Oberon0.Generator.MsilBin.Tests\Oberon0.Generator.MsilBin.Tests.csproj,File,Oberon0.Generator.MsilBin.Tests\Oberon0.Generator.MsilBin.Tests.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
NuGet.0006,NuGet-Paketquellzuordnungen werden empfohlen.,Active,Information,1,Oberon0.Msil\Oberon0.Msil.csproj,File,NuGet.config,,,,,,,,"Es wurden 1 Dateien gefunden, die der Regel entsprechen:    NuGet.config  "
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Oberon0.Msil.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,54,12,M:System.CommandLine.Command.Add(System.CommandLine.Option),,,,,"var rootCommand = new RootCommand(""Compile an Oberon0 source file."")              {                  fileArg,                  outputPathOpt,                  verboseOpt,                  cleanOpt,                  projectNameOpt              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,54,12,M:System.CommandLine.Command.Add(System.CommandLine.Option),,,,,"var rootCommand = new RootCommand(""Compile an Oberon0 source file."")              {                  fileArg,                  outputPathOpt,                  verboseOpt,                  cleanOpt,                  projectNameOpt              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,54,12,M:System.CommandLine.Command.Add(System.CommandLine.Option),,,,,"var rootCommand = new RootCommand(""Compile an Oberon0 source file."")              {                  fileArg,                  outputPathOpt,                  verboseOpt,                  cleanOpt,                  projectNameOpt              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,54,12,M:System.CommandLine.Command.Add(System.CommandLine.Option),,,,,"var rootCommand = new RootCommand(""Compile an Oberon0 source file."")              {                  fileArg,                  outputPathOpt,                  verboseOpt,                  cleanOpt,                  projectNameOpt              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,54,12,T:System.CommandLine.RootCommand,,,,,"var rootCommand = new RootCommand(""Compile an Oberon0 source file."")              {                  fileArg,                  outputPathOpt,                  verboseOpt,                  cleanOpt,                  projectNameOpt              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,54,12,M:System.CommandLine.RootCommand.#ctor(System.String),,,,,"var rootCommand = new RootCommand(""Compile an Oberon0 source file."")              {                  fileArg,                  outputPathOpt,                  verboseOpt,                  cleanOpt,                  projectNameOpt              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,36,12,T:System.CommandLine.ArgumentArity,,,,,"var fileArg = new Argument<FileInfo>(""input-file"", ""The input file to be compiled"") { Arity = ArgumentArity.ExactlyOne }                     .ExistingOnly();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Oberon0.Msil\Oberon0.Msil.csproj,File,Oberon0.Msil\Program.cs,36,12,T:System.CommandLine.ArgumentArity,,,,,"var fileArg = new Argument<FileInfo>(""input-file"", ""The input file to be compiled"") { Arity = ArgumentArity.ExactlyOne }                     .ExistingOnly();"
